
значение показателя за год
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
;3;3;3;5;5;7;7;5;6;7;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;1,21;1,65;1,66;1,41;1,13;4,33;1,049;0,923;1,465;1,244;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;0,411;0,345;0,365;0,3;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;0,638;0,577;1,099;0,944;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;0,077;0,066;0,291;0,233;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;0,452;0,422;0,723;0,631;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;0,086;0,079;0,08;0,073;;;;;;;
Углеводороды, тыс. тонн;;;;;;;0,008;;0,001;0,003;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;12,427;3,967;3,822;3,756;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;0,002;0,007;0;0;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;
Городские поселения Троицко-Печорского района;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;9826;;;;;;;;;;;;;;;;
Троицко-Печорск;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;9826;;;;;;;;;;;;;;;;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;1,984;1,945;2,13;2,262;;;;;;;
Уловлено и обезврежено загрязняющих веществ в процентах от общего количества загрязняющих веществ, отходящих от стационарных источников, процент;;;;;;;;;;;;;;;;;
;;;;;;;0,1;0,1;;11,4;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;1320,4;929,2;1480,4;2131;3707;8037;7631;88923;106424;100989;105619;157155;211302;140602;144711;145895;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;13;10;9;9;9;9;10;12;9;9;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;2,33;2,26;2,31;2,08;1,89;1,89;1,982;1,943;2,13;2,004;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;0,526;0,551;0,493;0,509;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;1,456;1,392;1,637;1,496;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;0,532;0,56;0,809;0,707;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;0,814;0,739;0,742;0,703;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;0,094;0,078;0,072;0,07;;;;;;;
Углеводороды, тыс. тонн;;;;;;;0;;0;;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;14,693;13,754;13,042;12,651;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;0,001;0;0,001;0,004;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;
Городские поселения Удорского района;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;1319,8;;;;;;;;;;;;;;;;
Усогорск;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;1319,8;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;
Сельские поселения Удорского района;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;0,6;;;;;;;;;;;;;;;;
Важгорт;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;0,6;;;;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;25,871;22,862;30,393;18,295;;;;;;;
Уловлено и обезврежено загрязняющих веществ в процентах от общего количества загрязняющих веществ, отходящих от стационарных источников, процент;;;;;;;;;;;;;;;;;
;;;;;;;16,3;10,8;7,9;19,1;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;20184,2;16483,7;20832,7;24952,7;87140;109613;85574;48593;84636;132209;107277;117656;129247;127939;171234;132848;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;6;7;7;9;9;12;13;13;14;18;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;21,94;18,78;18,61;24,84;15,31;26,34;21,661;20,383;27,991;14,799;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;0,312;0,348;0,417;0,279;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;21,35;20,035;27,574;14,52;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;0,157;0,197;0,153;0,158;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;4,185;4,137;6,177;4,276;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;1,583;1,858;1,501;1,793;;;;;;;
Углеводороды, тыс. тонн;;;;;;;15,385;13,673;19,59;8,183;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;34,066;146,764;126,454;38,606;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;0,005;0,023;0,026;0,071;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;
Городские поселения Усть-Вымского района;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;19530,7;;;;;;;;;;;;;;;;
Микунь;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;0;;;;;;;;;;;;;;;;
Жешарт;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;19530,7;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;
Сельские поселения Усть-Вымского района;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;653,5;;;;;;;;;;;;;;;;
Айкино;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;653,5;;;;;;;;;;;;;;;;
Межег;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;0;;;;;;;;;;;;;;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;1,803;1,645;1,603;5,123;;;;;;;
Уловлено и обезврежено загрязняющих веществ в процентах от общего количества загрязняющих веществ, отходящих от стационарных источников, процент;;;;;;;;;;;;;;;;;
;;;;;;;;;;71,1;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;855,9;855,9;;;895;15981;16069;26910;28010;23267;21586;29124;61648;61131;68519;69689;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;11;6;7;8;10;8;9;8;9;10;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;1,96;1,94;2,03;1,69;1,78;1,81;1,803;1,645;1,603;1,48;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;0,681;0,492;0,371;0,259;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;1,122;1,153;1,232;1,221;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;0,392;0,23;0,176;0,09;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;0,642;0,844;0,786;0,899;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;0,071;0,063;0,059;0,024;;;;;;;
Углеводороды, тыс. тонн;;;;;;;0;0;0,001;0,002;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;14,237;14,019;208,784;203,739;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;0,002;0,002;0,003;0,001;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;
Сельские поселения Усть-Куломского района;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;855,9;;;;;;;;;;;;;;;;
Вольдино;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;0;;;;;;;;;;;;;;;;
Усть-Кулом;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;855,9;;;;;;;;;;;;;;;;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;1,304;1,124;1,053;1,085;;;;;;;
Уловлено и обезврежено загрязняющих веществ в процентах от общего количества загрязняющих веществ, отходящих от стационарных источников, процент;;;;;;;;;;;;;;;;;
;;;;;;;0,7;0,7;0,5;0,5;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;105,9;95,3;109;2744,3;4129;5030;6536;12150;12940;13219;11367;18703;13930;12703;15572;18920;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;15;4;4;5;6;6;9;10;11;11;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;2,21;2,15;2,32;2,41;1,82;1,59;1,295;1,116;1,048;1,08;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;0,254;0,241;0,234;0,233;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;1,041;0,875;0,814;0,847;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;0,403;0,339;0,317;0,321;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;0,468;0,377;0,354;0,383;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;0,111;0,101;0,096;0,093;;;;;;;
Углеводороды, тыс. тонн;;;;;;;0,015;0,012;0,007;0,006;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;44,359;44,496;38,97;42,551;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;0,001;0,001;0,002;0,002;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;
Сельские поселения Усть-Цилемского района;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;105,9;;;;;;;;;;;;;;;;
Усть-Цильма;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;105,9;;;;;;;;;;;;;;;;
Городские округа Республики Коми;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;;;;;;;
Городские округа Республики Коми;;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;898,689;809,087;786,195;;;;;;;;
Уловлено и обезврежено загрязняющих веществ в процентах от общего количества загрязняющих веществ, отходящих от стационарных источников, процент;;;;;;;;;;;;;;;;;
;;;;;;;38,2;40,7;44,4;;;;;;;;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;;;;;;;203;187;197;;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;;;;;;;555,838;479,641;436,976;;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;46,939;43,859;40,543;;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;508,899;435,782;396,433;;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;112,582;78,817;80,795;;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;167,926;117,456;103,496;;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;21,541;17,716;17,542;;;;;;;;
Углеводороды, тыс. тонн;;;;;;;192,639;209,288;183,918;;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;11498,851;11091,486;9344,767;;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;2,713;1,413;1,337;;;;;;;;
Сыктывкар;;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;148,726;118,016;147,146;429,624;;;;;;;
Уловлено и обезврежено загрязняющих веществ в процентах от общего количества загрязняющих веществ, отходящих от стационарных источников, процент;;;;;;;;;;;;;;;;;
;;;;;;;87,4;86,7;89,9;97;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;1136867,4;792117,9;1074062,9;692625,7;624192;830180;739680;672046;774497;1289725;1365999;1748482;1463914;1698547;1687094;1806867;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;17;19;34;44;48;44;54;44;47;50;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;23,41;26,98;19,37;12,4;14,99;16,46;18,797;15,73;14,839;12,866;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;0,798;1,709;1,75;1,802;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;17,998;14,02;13,089;11,064;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;0,32;0,276;0,292;0,237;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;10,676;6,678;6,444;4,738;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;5,893;5,909;5,234;4,986;;;;;;;
Углеводороды, тыс. тонн;;;;;;;0,814;0,838;0,839;0,834;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;193,86;206,57;183,257;187,786;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;0,102;0,113;0,097;0,081;;;;;;;
Воркута (до 1 января 2025 года);;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;373,827;413,836;390,474;391,832;;;;;;;
Уловлено и обезврежено загрязняющих веществ в процентах от общего количества загрязняющих веществ, отходящих от стационарных источников, процент;;;;;;;;;;;;;;;;;
;;;;;;;48,9;47,9;49,5;52,7;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;81488;129143,6;113443,8;108575,6;153159;238587;314995;200419;317887;326725;359406;425490;423061;476037;518284;505472;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;32;20;20;22;25;27;29;31;34;29;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;264,86;221,35;208,81;206,62;193,15;182;191,096;215,559;197,208;185,242;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;21,371;21,07;23,142;19,781;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;169,725;194,489;174,066;165,461;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;25,713;29,318;29,534;25,056;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;3,65;3,1;2,702;2,323;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;7,166;5,328;5,296;4,257;;;;;;;
Углеводороды, тыс. тонн;;;;;;;132,883;156,443;136,303;133,624;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;307,656;296,51;226,595;197,317;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;0,006;0,004;0,005;0,004;;;;;;;
Вуктыл (до 1 января 2024 года);;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;;;;15,626;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;;;;;;;;;;45918;65409;99224;86266;102836;133909;205166;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;;;;;;;;;;9;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;;;;;;;;;;15,626;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;;;;0,349;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;;;;15,277;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;;;;0,221;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;;;;1,95;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;;;;0,564;;;;;;;
Углеводороды, тыс. тонн;;;;;;;;;;12,346;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;;;;195,477;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;;;;0;;;;;;;
Инта (до 1 января 2025 года);;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;59,54;57,903;61,851;51,168;;;;;;;
Уловлено и обезврежено загрязняющих веществ в процентах от общего количества загрязняющих веществ, отходящих от стационарных источников, процент;;;;;;;;;;;;;;;;;
;;;;;;;50,6;49,7;38;47,4;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;67127,1;105068,8;82549,7;123014,1;108141;150332;183545;184710;161295;186493;190919;173279;167093;280749;308691;369816;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;12;15;16;16;19;16;19;19;23;18;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;29,11;28,29;26,25;22,17;19,32;42,27;29,43;29,153;38,327;26,923;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;6,96;8,155;8,428;8,655;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;22,47;20,998;29,899;18,268;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;5,128;5,124;10,591;6,467;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;2,255;1,818;1,84;1,386;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;2,637;1,513;1,617;1,252;;;;;;;
Углеводороды, тыс. тонн;;;;;;;11,905;12,195;15,386;9,117;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;351,214;201,485;205,899;35,442;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;0,194;0,147;0,259;0,01;;;;;;;
Усинск (до 1 января 2024 года);;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;289,91;194,974;167,758;81,298;;;;;;;
Уловлено и обезврежено загрязняющих веществ в процентах от общего количества загрязняющих веществ, отходящих от стационарных источников, процент;;;;;;;;;;;;;;;;;
;;;;;;;;0,1;0,1;0,1;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;731948,7;560030,9;731174,6;500085,7;376585;786008;810949;754529;1126051;1360356;1779887;1370016;1492098;1115704;1323621;1581477;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;38;31;33;35;48;46;52;49;47;49;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;111,1;125,8;148,67;248,52;261,28;292,44;289,839;194,847;167,641;81,2;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;17,239;12,284;6,442;6,5;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;272,6;182,563;161,199;74,7;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;81,294;43,923;39,996;7,5;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;145,447;101,309;88,218;37,1;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;3,499;2,547;2,925;2,4;;;;;;;
Углеводороды, тыс. тонн;;;;;;;34,187;28,096;23,399;20,7;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;5961,173;5672,6;5778,969;6791,4;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;2,212;1,015;0,882;0,2;;;;;;;
Ухта (до 1 марта 2024 года);;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;26,686;24,358;18,967;31,119;;;;;;;
Уловлено и обезврежено загрязняющих веществ в процентах от общего количества загрязняющих веществ, отходящих от стационарных источников, процент;;;;;;;;;;;;;;;;;
;;;;;;;;;;2,2;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;398715,8;335078,8;399352,2;422997,6;631698;717845;663157;631466;664732;826027;886471;924048;1059899;1108647;1254769;1424697;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;47;28;30;35;43;42;49;44;46;50;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;38,07;39;24,79;30,75;19,74;31,75;26,676;24,352;18,96;30,422;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;0,57;0,641;0,78;0,841;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;26,105;23,712;18,179;29,581;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;0,128;0,176;0,382;0,477;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;5,898;4,552;4,292;4,47;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;2,346;2,418;2,47;3,958;;;;;;;
Углеводороды, тыс. тонн;;;;;;;12,85;11,717;7,991;18,278;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;4684,948;4714,321;2950,047;2335,096;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;0,199;0,135;0,095;0,062;;;;;;;

значение показателя за год, Уловленные и обезвреженные загрязняющие атмосферу вещества из общего объема поступивших на очистку
;2014;2015;2016;2017;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;;;;;
Уловлено и обезврежено загрязняющих веществ - всего, тысяча тонн;;;;;;;;;;;;;;;;;
;0,729;;0,726;4,464;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;
Уловлено и обезврежено загрязняющих веществ - всего, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;0,327;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;
Уловлено и обезврежено загрязняющих веществ - всего, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;0,968;
Муниципальный район Печора;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;
Уловлено и обезврежено загрязняющих веществ - всего, тысяча тонн;;;;;;;;;;;;;;;;;
;0,014;0,007;0;0;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;
Уловлено и обезврежено загрязняющих веществ - всего, тысяча тонн;;;;;;;;;;;;;;;;;
;;;0,189;0,854;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;
Уловлено и обезврежено загрязняющих веществ - всего, тысяча тонн;;;;;;;;;;;;;;;;;
;29,415;;0;0,031;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;
Уловлено и обезврежено загрязняющих веществ - всего, тысяча тонн;;;;;;;;;;;;;;;;;
;1,844;;2,064;0,374;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;
Уловлено и обезврежено загрязняющих веществ - всего, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;0,393;
