
значение показателя за год
;2016;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;48,8;48,7;48,7;48,7;48,7;63,74;48,7;48,7;48,7;48,7;48,7;48,7;48,7;48,7;48,7;;;
Берёзовка (до 1 января 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;21,5;21,6;21,4;;;;;;;;;;;;;;;
Зеленоборск (до 1 января 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;23,3;22,4;22,4;22,4;22,4;;;;;;;;;;;;;
Каджером;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;72,8;72,7;72,8;72,8;68,68;72,68;72,68;72,68;72,68;72,68;72,7;72,7;72,6;72,6;72,6;;;
Кедровый Шор (до 1 января 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;12,4;12,5;13,3;13,3;13,3;;;;;;;;;;;;;
Косью (до 1 января 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;9,5;9;5,25;5,25;;;;;;;;;;;;;;
Красный Яг (до 1 января 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;9,4;9,1;9,1;9,1;9,1;;;;;;;;;;;;;
Озёрный;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;17;16,9;16,9;16,9;16,9;39,3;39,46;39,46;39,46;39,46;39,5;38,7;38,7;38,7;38,7;;;
Приуральское;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;12,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;;12,5;12,5;12,5;12,5;12,5;12,5;;;
Соколово (до 1 января 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;10;9,7;11,87;11,87;11,87;;;;;;;;;;;;;
Сыня (до 1 января 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;17,1;17,1;15,04;15,04;15,04;;;;;;;;;;;;;
Чикшино;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;22;22,3;17,1;38,5;38,5;34,45;34;34;34;34;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;655,2;658,6;733,1;719,8;581,61;607,33;594;607,3;598,4;610,9;626,7;625,4;634,9;634,6;637,8;642;643,95;
Ваймес (до  1 января 2017г);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;12,7;12,8;12,85;12,85;11,99;12,8;12,8;12,8;12,8;12,8;;;;;;;;
Верхолузье (до 1 января 2017г);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;13,6;13,64;13,64;13,64;13,64;13,6;13,6;13,6;13,4;13,4;;;;;;;;
Вухтым;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;15,9;16,48;32,2;32,37;32,85;32,7;32,7;32,7;32,8;32,6;32,6;32,6;33;34;34,2;;;
Гурьевка;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;14,2;14,12;16,1;17,2;17,3;17,5;17,43;17,43;17,3;17,3;21,7;21,9;22;22;22;;;
Занулье;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;5;5,03;5,03;5,03;5,03;4,7;5,43;4,7;5,9;5,9;5,3;5,3;5,4;5,4;5,4;;;
Летка;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;77,3;85,69;92,7;87,39;87,89;104,2;104,2;104,2;90,3;90,5;84,7;85,3;87,3;88,5;89,2;;;
Лойма;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;26,3;26,28;26,28;26,28;26,28;26,3;26,3;26,3;26,3;26,3;37,3;37,3;37,3;33,9;33,9;;;
Мутница;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;19,5;19,57;19,57;9,16;9,16;15,8;15,8;15,8;15,8;15,8;15,5;15,5;15,5;15,5;15,5;;;
Ношуль;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;37,8;38,56;57,23;57,8;57,8;58;58;58;58;58;78,2;75,9;76,1;76,4;76,4;;;
Объячево;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;327,6;328,96;330,57;331,18;194,42;197,1;197,1;198,4;201,1;213,6;229,2;229,6;233,5;258;260,4;;;
Прокопьевка;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;7,8;7,69;7,69;7,69;7,69;7,2;7,2;7,2;7,2;7,2;8,6;8,6;8,6;8,6;8,6;;;
Слудка.;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;13,6;13,51;13,51;13,48;13,48;13,5;13,5;13,5;13,5;13,5;17,1;17,1;17,5;17,7;17,7;;;
Спаспоруб;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;32,7;30,43;31,7;31,7;31,7;31,6;110,6;110,6;32,1;32,1;37,3;37,3;37,8;37,8;37,9;;;
Черёмуховка;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;23,4;17,22;37,8;37,8;37,8;38;38;37,8;37,4;37,4;36,8;36,6;36,6;36,6;36,6;;;
Чёрныш (до 1 января 2021 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;14,3;15,07;22,63;22,63;22,55;22,3;22,33;22,5;22,5;22,5;22,4;22,4;22,4;;;;;
Читаево (до 1 января 2017г);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;13,5;13,55;13,6;13,6;12,03;12,03;12,03;12,03;12;12;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;1068,5;1035,35;1016,91;1020,99;1021,02;1094,3;1226,53;1114,89;1103,01;1104,27;1204,2;1204,1;1253,8;1253,8;1253,8;1262,45;1264,73;
Сосногорск;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;602,5;568,9;569,9;569,3;569,3;577,14;900,63;786,3;787,9;788,77;890,3;890,3;943,5;944,1;943,5;;;
Войвож;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;98,8;98,8;98,8;98,8;98,8;98,8;98,8;98,8;86,51;86,5;84,9;84,8;80,6;80,6;79;;;
Нижний Одес;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;231,1;234,8;231,1;231;231;231;227,1;229,79;228,6;229;229;229;229,7;229,1;230,9;;;
Верхнеижемский  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;30;30,15;22,5;22,5;22,5;22,5;;;;;;;;;;;;
Вис  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;7,3;7,3;13,1;12,9;12,9;12,9;;;;;;;;;;;;
Ираёль  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;17,8;17,8;18,2;18,2;18,2;18,2;;;;;;;;;;;;
Керки  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;13;13;13;14,8;14,8;14,01;;;;;;;;;;;;
Малая Пера  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;14,2;14,2;12,9;12,9;12,9;12,92;;;;;;;;;;;;
Поляна  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;32,5;32,8;19,81;22,92;22,95;19,54;;;;;;;;;;;;
Усть-Ухта  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;17,6;17,6;17,6;17,67;17,67;17,67;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;638,1;666,14;668,62;686,31;701,84;667,8;629,74;626,07;670,9;620,94;672;716;765,6;763,9;805,3;824,45;831,58;
Выльгорт;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;213;274,66;285,53;290,9;295,8;176,5;224,5;224,5;22,72;231;231;302,7;308,9;318,9;332,5;;;
Зеленец;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;80,7;80;69;80,02;89,2;82,3;84,6;85,4;85,5;87,1;88,5;89,2;89,7;90,7;109,8;;;
Лэзым;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;;12,2;16,2;16,2;16,34;18;18,7;18,8;;;19,1;19,1;20,1;21;21,3;;;
Мандач;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;7;10,37;10,37;10,37;10,37;10,34;10,34;10,1;10;10,8;11,3;11,4;11,2;11,2;12;;;
Нювчим;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;28,1;27,04;27,13;27,33;27,35;27,2;27,2;27,2;27,7;27,7;27,8;27,8;28,1;27,1;27,1;;;
Озёл;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;12;10,98;11,95;11,95;11,95;11;11;11;11;11;9,7;9,1;9,1;9,1;9,1;;;
Пажга;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;75,7;58,5;58,68;59;59,3;76,6;76,8;76,8;79,48;77,1;77,3;77,4;76,9;78,2;80,5;;;
Палевицы;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;44,1;28,36;28,75;28,36;28,38;30;30;30;30;31,1;31;31;33,9;34,6;34,8;;;
Слудка;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;32;31,4;31,63;32,2;33,1;33,1;5,27;5,27;5,27;5,27;32,8;5,3;32,8;33,5;33,6;;;
Часово;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;34,9;49,2;49,31;49,87;50,38;41,3;41,3;39,2;39,2;39,4;39,4;39,4;40,9;40,9;40,9;;;
Шошка;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;28,8;24,86;21,5;21,54;21,75;21,9;22,1;25,3;25,6;25,8;28,9;29,3;29,6;29,7;29,7;;;
Ыб;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;22,9;25,37;25,37;25,37;25,52;40,1;40;40;39,8;41;41,4;41,9;42;42,5;42,5;;;
Яснэг;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;58,9;33,2;33,2;33,2;32,4;32,2;32,5;32,5;32,5;33,7;33,8;32,4;32,4;26,5;26,5;;;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;430,2;430,4;428,2;429,1;435,1;398,17;403,2;404,8;406;405,65;406,7;422,4;418;418,4;419,2;428,27;430,11;
Визинга;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;152,3;152,5;154,75;155,65;154,6;156,7;159,9;162;163,5;164,9;165,9;183,1;178;180,8;180,4;;;
Визиндор;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;22,9;22,9;23,2;23,2;18,25;18,1;18,1;18,1;17,9;17,9;17,9;17,9;17,9;17,6;17,6;;;
Вотча;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;15,9;15,9;16;16;15,47;15,47;15,5;15,5;15,5;15,5;15,5;15,7;15,7;13,2;13,2;;;
Гагшор;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;14,7;14,7;13,5;13,5;14,9;14,9;14,9;14,9;14,9;15,05;15,1;15,1;15,1;15,1;15,1;;;
Заозерье;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;27,8;27,8;24,65;24,65;19;19;19,4;18,9;18,9;18,9;18,9;18,2;18,1;18,1;18,1;;;
Куниб;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;47,8;47,8;48;48;42,1;42,2;42,5;42,4;41,3;41,3;40,2;40,7;40,9;41,2;41,3;;;
Куратово;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;46,6;46,6;46,5;46,5;43,27;43,3;43,5;43,5;43,4;43,4;42,9;42,7;42,8;42,8;42,7;;;
Межадор;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;29,1;29,1;28,5;28,5;26,5;26,5;26,5;27;27,5;27,4;27,9;28,1;28,6;28,8;29,5;;;
Палауз;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;6,9;6,9;6,9;6,9;5,8;7,5;7,5;7;6,9;6,9;6,9;6,9;6,9;6,9;6,9;;;
Пыёлдино;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;33,8;33,8;33,8;33,8;28,6;28,8;28,8;28,8;28,8;28,4;28,5;26,8;26,8;26,8;27;;;
Чухлэм;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;32,4;32,4;32,4;32,4;25,7;25,7;26,6;26,7;26,9;26;27;27,3;27,2;27,1;27,3;;;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;;;;;;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;430,2;431,1;431,99;414;412,7;415,8;402,7;402,7;401,12;415,3;384;334,2;383,2;381,6;382,6;383,5;383,78;
Троицко-Печорск;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;217,6;218,4;218,99;219,07;219,07;219,07;219,07;225;225;226,8;204,2;162,9;40;40;40;;;
Приуральский;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;16,5;16,5;16,5;16,5;17,3;17,3;17,3;17,3;17,3;17,3;16;16;16;15,9;15,9;;;
Знаменка;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;14,4;14,4;14,4;6,88;6,88;6,88;8,2;8,2;8,12;8,12;8,1;8,1;8,1;8,1;9,1;;;
Комсомольск-на-Печоре;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;25,8;25,9;26,2;24;23,3;23,3;26,4;26,4;26,4;26,4;26,4;26,4;26,4;28,1;28,1;;;
Куръя;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;7,1;7,1;7,1;4,25;4,25;4,25;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;;;
Митрофан-Дикост;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;19,1;19,4;19,4;19,4;19,4;19,3;19,4;19,1;19;19;18,5;18,5;18,6;18,6;17,6;;;
Мылва;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;26,7;26,7;26,7;26,7;26,7;26;15,4;15,4;16,4;16,6;16,9;16,9;16,9;16,9;16,9;;;
Нижняя Омра;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;32,8;32,5;32,5;29,9;28,5;27,8;26,9;26,9;26,9;28,2;28,2;26;26;26;24,1;;;
Покча;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;25,4;25,4;25,4;25,4;25,4;25,4;15,7;15,6;15,6;15,6;16,5;16,5;16,5;16,5;16,5;;;
Усть-Илыч;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;20,2;20,2;20,2;17,7;17,7;17,7;17,7;18,8;17,7;17,7;17,7;17,7;18,8;18,8;18,8;;;
Якша;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;24,6;24,6;24,6;24,2;24,2;24,2;26;24,1;26;26;22,5;22,5;22,5;22,6;22,6;;;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;633,2;633,2;625,02;643,91;642,39;535,43;621,24;616,7;8168,07;622,1;656,9;656,9;627,2;627,2;585,7;587,19;588,06;
Благоево;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;81,2;81,2;81,2;81,2;81,2;81,2;81,2;81,2;81,2;81,2;81,2;113,2;112,7;112,5;112,5;;;
Междуреченск;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;40,8;40,8;40,8;40,8;40,8;40,8;36,4;36,4;36,4;36,2;36,2;36,2;36,2;36,2;36,2;;;
Усогорск;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;128,4;128,4;124,02;126,26;127,06;119,4;130,6;131,4;124,3;124,6;127,6;127,6;127,6;127,9;127,9;;;
Буткан;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;12,4;12,4;12,4;12,4;12,44;12,44;13,2;13,1;13,1;13,1;12,9;12,9;12,9;12,9;6,1;;;
Важгорт;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;45,7;45,7;45,5;45,5;45,5;45,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;;;
Вожский;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;24,7;24,7;21;21;21;18,8;21,5;21,5;21,5;21,5;13,9;13,9;13,9;13,9;12,3;;;
Глотово;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;22,5;22,5;22,7;22,25;22,25;22,25;23,2;23,2;23,2;23,2;23,2;23,2;23,2;23,2;23,2;;;
Ёдва;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;20,9;20,9;23,6;22,3;22,3;22,3;19,6;19,2;19,2;20,1;20,1;20,1;20,1;20,1;8,5;;;
Ёртом (до 1 января 2018г);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;33,9;33,9;33,9;33,9;33,9;33,9;33,4;33,3;33,3;33,3;33,3;;;;;;;
Кослан;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;78;78;78;78;78;48,9;85,7;85,7;85,7;85,7;89,7;90,2;90,2;90,2;90,2;;;
Большая Пучкома;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;33,7;33,7;31,2;28,5;28,5;28,5;28,5;28,5;28,5;28,5;28,5;28,1;27,8;27,8;27,8;;;
Большая Пысса;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;30;30;30;30;30;30;24;24;25;25;25;25;25;25;25;;;
Чернутьево;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;20,1;20,1;19,8;19,6;19,6;19,7;19,7;19,5;19,3;19,2;19,9;19,8;19,8;19,7;19,7;;;
Чим;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;14,1;14,1;14,1;14,1;11,74;11,74;11,74;11,74;11,74;11,74;11,7;11,7;11,7;11,7;5,9;;;
Чупрово;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;46,8;46,8;46,8;68,1;68,1;;68;63,5;61,9;61,9;60,1;60,1;60,1;60;59,3;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;743,5;748,9;780,2;755,7;759,1;768,9;748,5;760,7;760,7;760;839;845;850,2;853,2;848,5;850,26;851,36;
Микунь;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;260,1;260,5;260,5;241,2;244,6;242,9;262,2;262,4;261,7;261,6;261,5;265,6;269,5;269,5;269,5;;;
Жешарт;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;196,3;196,8;216;217;217;228,5;228,8;231,3;229;229,4;224,1;224;223,6;222,9;222,1;;;
Айкино;;;;;;;;;;;;;;;;;;
