
значение показателя за год
;2016;
Нижняя Омра;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;25;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;97;
Благоево;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Городское поселение;1;
Усогорск;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Городское поселение;0;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;87;
Микунь;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Городское поселение;0;
Жешарт;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Городское поселение;201;
Айкино;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;9;
Межег;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;23;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;
Усть-Кулом;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;0;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;;
Хабариха;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;0;
Городские округа Республики Коми;;;;;;;;;;;;;;;;;;
Воркута (до 1 января 2025 года);;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;446;
Инта (до 1 января 2025 года);;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;22;
Ухта (до 1 марта 2024 года);;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;0;

Весь жилищный фонд, значение показателя за год
;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;401;388;388,53;396,5;395,9;399,5;398,37;397,37;397,9;397,9;;;;;;;;
Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;321,4;311,5;311,5;320,2;319,4;322,6;322,6;321,9;321,2;322,3;;;;;;;;
Дутово (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;39,6;39,6;39,9;39,9;39,7;38,7;38,27;38,27;38,27;38,2;;;;;;;;
Лемтыбож (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;7,7;6,3;6,3;6,3;6,3;6,3;6,3;7,2;7,2;7,2;;;;;;;;
Подчерье (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;26,2;25;25;25;25,4;25,4;24,7;24,6;24,6;24,6;;;;;;;;
Усть-Соплеск (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;6,1;5,6;6,1;5,1;5,1;6,5;6,5;5,4;5,4;5,4;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;474,4;428,2;432,6;433,28;431,56;434,7;442,03;455,53;456,83;453,42;481,3;471;472,3;473;477,2;478,6;479,86;
Брыкаланск;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;19,3;;;19,99;19,9;19,9;19,9;19,9;19,9;19,9;19,9;19,9;19,9;19,9;19,8;;;
Ижма;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;93,7;;;97,89;100,93;94,22;103,7;103,9;103,9;104,1;115,8;115,8;116,8;116,8;121,6;;;
Том;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;33,8;;;31,2;31,1;31,1;31,1;31,1;31;31,02;33,3;33,3;32,3;32,2;32,2;;;
Кельчиюр;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;26,6;;;29,4;29,6;30,4;30,7;45,4;45,4;40,6;51;40,8;40,8;40,8;40,9;;;
Кипиево;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;24,8;;;24,89;24,68;24,68;24,74;24,7;24,73;24,7;20,5;20,5;20,5;20,5;20,4;;;
Краснобор;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;44,8;;;44,93;45,19;45,4;51,9;52,01;52,1;52,4;52,8;52,2;52,3;52,3;52,5;;;
Мохча;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;43;;;43,92;44,9;44,89;44,89;43,5;43,8;44,7;47,9;48;49,2;49,2;48,9;;;
Няшабож;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;16,4;;;16,29;15,79;15,74;15,6;15,4;15,3;15,3;15,2;15,3;15,4;15,5;15,5;;;
Сизябск;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;50,7;;;49,57;49,27;49,22;49,9;49,9;50,2;50,2;51,9;52,2;52,6;53,4;53,8;;;
Щельяюр;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;121,3;;;75,2;70,2;79,15;69,72;69,72;70,5;70,5;73;73;72,4;72,4;71,5;;;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;639,3;605,74;581,6;632,4;632,4;206,5;206,5;523,9;590,5;590,5;615,5;616,7;617,8;617,3;618,2;621,98;621,3;
Емва;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;353,6;355;355;354,96;354,96;354,96;380,2;368,7;384,1;384,1;384,1;351,5;385;385;385;;;
Синдор;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;53,8;51,95;52,41;52,54;52,35;52,35;52,35;52,35;51,05;51,05;58,6;58,6;58,6;57,6;59,4;;;
Ветью (до 1 января 2018г);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;11,7;5,3;4,7;14,16;14,16;14,16;14,16;14,16;14,16;14,16;5,6;5,6;;;;;;
Вожаёль (до 1 января 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;21,2;19,3;18,9;17,9;17,9;17,9;;;;;;;;;;;;
Иоссер;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;21,5;14,1;14,1;14,8;14,8;14,8;14,8;14,8;14,8;12,7;12,7;12,7;12,7;12,9;12,7;;;
Княжпогост (до 1 января 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;15,3;34;33,8;33,7;33,7;33,7;;;;;;;;;;;;
Мещура;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
