
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Сельское поселение;1;1;1;1;1;1;;;;;;;
Усть-Лэкчим;;;;;;;;;;;;;
Сельское поселение;2;1;1;1;1;1;;1;1;1;1;1;
Муниципальный район Печора;;;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;
Муниципальный район;37;26;27;25;24;23;3;3;3;3;3;4;
Печора;;;;;;;;;;;;;
Городское поселение;7;3;5;4;3;3;3;3;3;3;3;3;
Изъяю (до 1 января 2013 года);;;;;;;;;;;;;
Городское поселение;2;2;2;2;2;2;;;;;;;
Кожва;;;;;;;;;;;;;
Городское поселение;1;1;1;1;1;1;;;;;;;
Путеец;;;;;;;;;;;;;
Городское поселение;3;3;2;2;2;2;;;;;;;
Зеленоборск (до 1 января 2013 года);;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;;;
Каджером;;;;;;;;;;;;;
Сельское поселение;4;4;4;3;3;2;;;;;3;0;
Кедровый Шор (до 1 января 2013 года);;;;;;;;;;;;;
Сельское поселение;3;3;3;3;3;3;;;;;;;
Красный Яг (до 1 января 2013 года);;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;;;
Озёрный;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;;;;6;;
Приуральское;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;;;
Соколово (до 1 января 2013 года);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;;;;;;
Сыня (до 1 января 2013 года);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;;;;;;
Чикшино;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;;;;2;1;
Муниципальный район Прилузский;;;;;;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;;;
Муниципальный район;55;35;40;38;38;38;38;36;35;4;4;3;
Ваймес (до  1 января 2017г);;;;;;;;;;;;;
Сельское поселение;3;2;2;2;2;2;2;;;;;;
Верхолузье (до 1 января 2017г);;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;;;;;
Вухтым;;;;;;;;;;;;;
Сельское поселение;3;2;2;2;2;2;2;2;1;;;0;
Гурьевка;;;;;;;;;;;;;
Сельское поселение;2;1;1;1;1;1;1;;;;;;
Занулье;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;;;;;
Летка;;;;;;;;;;;;;
Сельское поселение;3;2;2;2;2;2;2;1;1;1;1;1;
Лойма;;;;;;;;;;;;;
Сельское поселение;5;4;5;5;5;5;5;;5;;;;
Мутница;;;;;;;;;;;;;
Сельское поселение;6;3;3;3;3;3;3;3;3;;;;
Ношуль;;;;;;;;;;;;;
Сельское поселение;3;4;4;3;3;3;2;2;1;;;;
Объячево;;;;;;;;;;;;;
Сельское поселение;12;3;7;6;7;6;7;7;7;3;3;2;
Прокопьевка;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;;;;
Слудка.;;;;;;;;;;;;;
Сельское поселение;3;2;2;2;2;2;2;2;2;;;;
Спаспоруб;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;1;;;;;
Черёмуховка;;;;;;;;;;;;;
Сельское поселение;5;3;3;3;3;3;3;3;;;;;
Чёрныш (до 1 января 2021 года);;;;;;;;;;;;;
Сельское поселение;3;2;2;2;2;2;2;;;;;;
Читаево (до 1 января 2017г);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;
Муниципальный район;22;14;16;15;14;13;10;14;4;3;3;3;
Сосногорск;;;;;;;;;;;;;
Городское поселение;2;2;3;3;3;2;3;12;3;2;2;2;
Войвож;;;;;;;;;;;;;
Городское поселение;1;1;1;1;1;1;1;1;;;;;
Нижний Одес;;;;;;;;;;;;;
Городское поселение;1;1;1;1;1;1;1;1;1;1;1;1;
Верхнеижемский  (до 1 янвря 2013 года);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Вис  (до 1 янвря 2013 года);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;;;;;;;;;
Ираёль  (до 1 янвря 2013 года);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Керки  (до 1 янвря 2013 года);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Малая Пера  (до 1 янвря 2013 года);;;;;;;;;;;;;
