
значение показателя за год
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Читаево (до 1 января 2017г);;;;7;9;7;2;8;14;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Сосногорск;706;668;712;668;642;592;612;662;615;625;533;570;631;763;588;549;
Городское поселение;;;;;;;;;;;;;;;;;;
Сосногорск;;;;402;364;419;429;455;424;441;362;403;438;523;422;408;
Войвож;;;;52;53;43;63;61;61;62;49;47;49;68;48;43;
Нижний Одес;;;;143;124;130;120;146;130;122;122;120;144;172;118;98;
Сельское поселение;;;;;;;;;;;;;;;;;;
Сельские поселения района Сосногорск (до 1 янвря 2013 года);;;;71;101;;;;;;;;;;;;
Верхнеижемский  (до 1 янвря 2013 года);;;;10;12;;;;;;;;;;;;
Вис  (до 1 янвря 2013 года);;;;12;17;;;;;;;;;;;;
Ираёль  (до 1 янвря 2013 года);;;;7;7;;;;;;;;;;;;
Керки  (до 1 янвря 2013 года);;;;10;13;;;;;;;;;;;;
Малая Пера  (до 1 янвря 2013 года);;;;9;19;;;;;;;;;;;;
Поляна  (до 1 янвря 2013 года);;;;10;13;;;;;;;;;;;;
Усть-Ухта  (до 1 янвря 2013 года);;;;13;20;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;354;318;352;304;281;272;334;307;324;296;287;281;333;356;314;300;
Сельское поселение;;;;;;;;;;;;;;;;;;
Выльгорт;;;;103;97;95;120;114;113;111;111;96;142;138;118;115;
Зеленец;;;;30;31;29;42;45;47;36;41;40;51;54;39;43;
Лэзым;;;;3;4;9;11;3;14;10;6;3;6;5;8;6;
Мандач;;;;9;9;13;8;19;5;7;9;9;7;4;5;8;
Нювчим;;;;12;15;14;13;7;11;15;16;12;8;12;11;13;
Озёл;;;;2;4;5;6;3;7;7;3;4;4;1;5;3;
Пажга;;;;38;33;32;31;35;31;34;27;33;34;38;31;21;
Палевицы;;;;14;19;13;27;15;15;20;14;12;15;27;24;22;
Слудка;;;;13;14;14;12;8;18;10;10;13;15;14;13;8;
Часово;;;;14;12;12;16;12;11;6;11;10;12;13;22;15;
Шошка;;;;13;12;6;5;5;15;16;9;13;7;10;11;10;
Ыб;;;;23;10;14;22;17;20;10;12;16;17;15;10;17;
Яснэг;;;;30;21;16;21;24;17;14;18;20;15;25;17;19;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Сысольский;304;335;239;242;193;242;233;232;232;197;205;209;226;285;209;220;
Сельское поселение;;;;;;;;;;;;;;;;;;
Визинга;;;;102;76;89;93;90;98;84;85;87;105;125;89;93;
Визиндор;;;;16;13;12;19;8;17;9;13;14;11;16;9;14;
Вотча;;;;6;4;3;4;2;3;8;3;6;2;12;9;6;
Гагшор;;;;9;8;13;5;9;12;9;8;6;12;11;7;6;
Заозерье;;;;15;9;18;11;13;15;13;17;14;13;20;14;14;
Куниб;;;;28;36;34;47;50;35;39;34;31;37;45;28;38;
Куратово;;;;27;15;21;20;17;15;11;24;20;18;15;25;18;
Межадор;;;;8;3;11;8;14;9;8;8;10;6;12;5;15;
Палауз;;;;3;5;7;5;7;3;2;1;3;5;3;3;2;
Пыёлдино;;;;10;12;12;14;14;12;5;5;7;8;10;11;8;
Чухлэм;;;;18;12;22;7;8;13;9;7;11;9;16;9;6;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Троицко-Печорский;327;285;238;243;211;236;213;210;183;206;193;221;220;261;207;185;
Городское поселение;;;;;;;;;;;;;;;;;;
Троицко-Печорск;;;;115;111;116;103;105;94;99;93;116;122;129;115;102;
Сельское поселение;;;;;;;;;;;;;;;;;;
Приуральский;;;;6;10;10;8;11;11;6;14;8;5;9;9;11;
Знаменка;;;;2;8;4;2;12;3;3;5;5;7;4;6;4;
Комсомольск-на-Печоре;;;;19;12;16;24;12;9;16;4;9;15;20;17;8;
Куръя;;;;2;2;0;4;4;0;2;5;1;5;0;3;4;
Митрофан-Дикост;;;;15;9;14;8;7;9;18;9;13;5;8;7;10;
Мылва;;;;18;10;11;13;10;14;17;9;14;13;18;7;11;
Нижняя Омра;;;;14;13;22;14;10;12;15;18;25;13;18;9;8;
Покча;;;;12;10;11;11;10;11;6;14;7;8;14;6;10;
Усть-Илыч;;;;19;10;14;12;15;7;11;10;12;15;15;4;8;
Якша;;;;21;16;18;14;14;13;13;12;11;12;26;24;9;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Удорский;325;284;278;263;234;273;251;235;203;257;264;205;231;304;220;212;
Городское поселение;;;;;;;;;;;;;;;;;;
Благоево;;;;39;26;38;39;30;24;32;43;40;45;48;40;35;
Междуреченск;;;;16;16;12;12;18;16;13;17;9;11;17;9;19;
Усогорск;;;;58;56;64;50;56;62;65;65;54;55;79;61;49;
Сельское поселение;;;;;;;;;;;;;;;;;;
Буткан;;;;5;9;6;13;6;7;7;8;2;6;6;5;6;
Важгорт;;;;12;15;11;7;12;10;8;15;6;13;12;8;12;
Вожский;;;;6;3;3;7;2;3;4;5;4;2;8;5;4;
Глотово;;;;10;7;13;10;14;8;8;8;9;8;9;8;7;
Ёдва;;;;8;7;7;8;5;9;10;4;4;10;9;12;8;
Ёртом (до 1 января 2018г);;;;8;8;8;4;8;1;11;;;;;;;
Кослан;;;;51;49;60;48;47;33;51;45;36;51;62;38;42;
Большая Пучкома;;;;4;7;10;3;5;3;5;5;3;7;6;4;5;
Большая Пысса;;;;15;13;15;11;11;5;13;14;14;9;12;8;7;
Чернутьево;;;;13;7;10;17;7;10;10;15;10;6;20;11;7;
Чим;;;;9;5;5;7;6;6;8;8;7;1;6;4;5;
Чупрово;;;;9;6;11;15;8;6;12;12;7;7;10;7;6;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;498;476;460;458;447;391;464;437;436;390;411;399;441;503;356;375;
Городское поселение;;;;;;;;;;;;;;;;;;
Микунь;;;;136;125;111;126;152;122;106;126;115;125;147;112;114;
Жешарт;;;;129;137;115;131;117;145;124;117;112;131;169;114;116;
Сельское поселение;;;;;;;;;;;;;;;;;;
Айкино;;;;55;61;64;81;58;62;54;63;68;51;75;41;54;
Вежайка;;;;8;3;4;3;1;3;5;4;1;3;1;1;2;
Гам;;;;23;15;17;13;14;7;12;9;12;15;12;12;14;
Донаёль;;;;11;9;2;11;4;11;10;5;9;7;6;7;8;
Илья-Шор;;;;7;6;8;13;9;13;7;8;7;12;8;9;5;
Кожмудор;;;;22;20;11;17;22;20;17;20;17;29;23;12;10;
Мадмас;;;;17;14;14;16;12;17;18;15;12;17;18;9;12;
Межег;;;;16;19;7;15;12;12;9;15;16;17;17;14;11;
Студенец;;;;16;15;23;13;17;16;10;15;15;15;12;12;10;
Усть-Вымь;;;;18;23;15;25;19;8;18;14;15;19;15;13;19;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Куломский;472;521;537;500;485;444;449;432;450;428;381;390;417;420;395;407;
Сельское поселение;;;;;;;;;;;;;;;;;;
Аныб (до 1 января 2018г);;;;8;5;5;5;3;5;5;;;;;;;
Вольдино;;;;15;24;24;18;15;14;17;7;15;13;15;15;3;
Нижний Воч;;;;16;20;10;14;12;13;12;12;8;7;9;7;10;
Диасёръя;;;;5;5;9;3;8;4;10;9;7;7;10;4;7;
Деревянск;;;;20;17;19;11;23;14;21;11;17;21;9;13;16;
Дзёль (до 1 января 2020 года);;;;4;1;4;9;4;3;3;7;0;;;;;
Дон;;;;15;14;16;14;10;16;13;11;15;10;11;8;8;
Кебанъёль;;;;32;21;21;29;25;27;17;12;18;24;22;24;21;
Керчомъя;;;;22;30;29;31;19;29;22;12;19;17;10;19;22;
Кужба;;;;19;18;16;15;13;13;13;10;16;12;17;13;16;
Мыёлдино;;;;14;6;9;9;12;7;8;12;7;9;10;6;15;
Носим (до 1 января 2018г);;;;17;12;14;7;13;13;8;;;;;;;
Крутоборка;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;
Парч;;;;5;5;4;4;6;7;5;8;2;2;4;1;3;
Пожег;;;;47;52;34;41;35;32;24;29;33;23;39;31;35;
Помоздино;;;;61;59;38;44;48;47;67;44;32;37;51;36;41;
Зимстан;;;;34;29;35;40;20;38;29;24;18;37;25;31;27;
Руч;;;;14;12;16;12;16;11;13;12;20;15;23;25;25;
Тимшер;;;;34;18;22;22;25;25;18;23;27;30;28;24;22;
Усть-Кулом;;;;65;74;78;65;75;75;68;96;82;104;89;94;84;
Усть-Нем;;;;18;17;12;14;10;13;12;7;8;8;16;7;15;
Югыдъяг;;;;35;46;29;42;40;44;43;34;46;41;32;37;37;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Цилемский;236;202;232;197;195;186;176;164;177;187;186;203;180;192;187;183;
Сельское поселение;;;;;;;;;;;;;;;;;;
Среднее Бугаево;;;;6;4;7;7;2;7;9;4;11;4;5;7;7;
Ёрмица;;;;9;4;7;6;4;4;5;3;6;7;11;4;4;
Коровий Ручей;;;;18;15;18;17;13;18;17;15;21;16;15;16;27;
Нерица;;;;1;3;2;2;1;1;6;5;4;4;2;5;4;
Новый Бор;;;;19;17;11;14;18;16;13;11;13;16;14;9;16;
Окунев Нос;;;;8;7;10;11;7;8;7;9;11;7;13;13;12;
Замежная;;;;18;24;24;21;22;18;20;25;32;14;35;29;25;
Уег;;;;3;4;3;7;7;3;6;3;6;6;2;4;2;
Усть-Цильма;;;;82;84;74;66;63;80;70;78;68;73;68;71;58;
Хабариха;;;;9;10;1;6;3;6;4;10;7;2;5;7;6;
Трусово;;;;24;23;29;19;24;16;30;23;24;31;22;22;22;
Городские округа Республики Коми;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;;;;;;;;
Сыктывкар;2691;2713;2710;2584;2489;2582;2615;2695;2640;2491;2595;2543;3054;3720;2872;2606;
Воркута (до 1 января 2025 года);979;1062;1035;905;909;861;835;780;809;728;749;718;815;921;726;668;
Вуктыл (до 1 января 2024 года);;;;;;;;;;162;171;161;208;192;187;161;
Инта (до 1 января 2025 года);534;552;500;432;465;415;435;472;439;425;402;375;419;520;413;347;
Усинск (до 1 января 2024 года);435;424;385;420;403;399;379;382;393;354;383;350;401;434;358;339;
Ухта (до 1 марта 2024 года);1468;1508;1341;1299;1373;1291;1342;1399;1331;1222;1220;1296;1359;1708;1329;1204;
Общий коэффициент рождаемости, промилле;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);13,6;13,1;11,8;11,2;14,2;12,8;12,8;13,1;13,3;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;
Вуктыл (до 1 января 2017 года);12,9;12,4;12,1;11,2;14,2;12,5;12;12,9;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;
Дутово (до 1 января 2017 года);;;;;;12,5;10,5;13,7;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;17,2;17,4;16,8;19,1;19,9;22,1;21,3;18,9;18,8;16,7;15,6;15,3;14,3;13,6;13,5;15,3;
Сельское поселение;;;;;;;;;;;;;;;;;;
Брыкаланск;;;;;;;;;21,1;18,5;8,6;13,9;19,5;8,1;12,5;18,3;
Ижма;;;;;;16,7;21,9;18,5;19,8;18,1;18,8;17,7;14,8;16;13,5;15,3;
Том;;;;;;23,5;18,4;13,3;11,1;15,7;16;14,7;11,2;11,4;10,4;5,3;
Кельчиюр;;;;;;24,5;20,3;21,7;19,6;21,7;18,2;14,9;10;15,3;13,6;14,4;
Кипиево;;;;;;;;;22,6;14,2;9,4;15,2;15,3;7,1;10,4;18;
Краснобор;;;;;;22,5;24,2;20,4;21,1;15,7;16,7;13,3;14,3;14,3;14,3;15;
Мохча;;;;;;27,8;23,8;16,6;16,3;14,9;11,2;15,3;10,4;8,3;10,1;13,3;
Няшабож;;;;;;;;;20;18,7;24,2;10,7;23,6;12,7;19;15,9;
Сизябск;;;;;;23,6;17,5;19,8;22,3;13,2;12,8;20,2;17,9;18;15,6;18;
Щельяюр;;;;;;20,4;17,5;18;15,6;16,4;15,5;11,1;12,7;13,1;14,8;17,4;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);10,9;11,1;11,1;11,6;13,5;14,5;13,5;10,5;11,9;9,4;8;10,4;8,6;7,9;8,6;7,4;
Городское поселение;;;;;;;;;;;;;;;;;;
Емва;;;;;;14,5;13,5;12,2;12,8;10,2;9,3;10,9;9,6;8,4;9,6;6,8;
Синдор;;;;;;13,6;12;7,7;9,2;8,9;3,3;10,4;5,7;8,9;5,3;9,3;
Сельское поселение;;;;;;;;;;;;;;;;;;
Иоссер;;;;;;;;;10;10,6;;11,7;6,1;;6,8;7;
Мещура;;;;;;;;;15,9;8,3;8,5;12,7;8,5;13,6;;;
Серёгово;;;;;;;;;14,8;4,7;8;11,4;8,2;5,1;18,2;16,4;
Тракт;;;;;;8,2;8,1;6,1;5,7;6,5;4,1;7;5,1;5,9;4,1;2,1;
Туръя;;;;;;;;;13,9;13,5;18,8;4,9;15,1;5,4;7,4;7,6;
Чиньяворык;;;;;;20;11,7;9,7;9,6;7,8;7,8;7,9;8,9;6;3,4;11,9;
Шошка.;;;;;;;;;18,6;8,3;2,9;9,2;;3,3;;3,6;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;13,9;14,5;13,7;16,2;17;14,3;16,6;12,3;14,2;12,3;10,7;10;10,2;10,9;6,6;8,1;
Сельское поселение;;;;;;;;;;;;;;;;;;
Грива;;;;;;;;;6,1;15,6;9,5;15,9;12,5;12,5;7,5;7,5;
Кажым;;;;;;;;;9,7;4,4;11,2;13,7;5,9;10,7;2;5;
Койгородок;;;;;;11,5;15,7;14,3;17,4;19,4;13,9;11,7;12,7;12,9;7,8;11,9;
Койдин;;;;;;12;21,1;9,2;14,8;7,9;7,1;6,4;10,5;9,8;10;2,8;
Кузьёль;;;;;;;;;12,3;13;4,5;9,5;15,5;11,1;3,7;4,1;
Нючпас (до 1 января 2023 г);;;;;;;;;20;;;14,9;;;;;
Подзь;;;;;;13;15,8;14,5;10,4;9,8;13;5,7;7,8;7,2;7,1;7,2;
Ужга;;;;;;;;;11,3;5;3,5;7,3;5,8;12;2,9;8,2;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;13,9;17,6;15,6;16,9;21,1;19,7;19,7;18,3;14,4;13,9;11,8;12,2;12,6;14;9,9;9;
Сельское поселение;;;;;;;;;;;;;;;;;;
Богородск;;;;;;23,1;12,1;22,5;10,4;11,5;3,9;15;10,2;7,4;11,7;10;
Большелуг;;;;;;25,4;31,4;24,8;16,4;16,7;12,7;8,7;12,4;21,7;7,5;10,5;
Вомын;;;;;;;;;16,4;18,9;15,3;22;13,4;11,5;9;3,6;
Додзь;;;;;;;;;12;12,8;14,1;13,4;17,2;19;8;6,2;
Керес;;;;;;;;;18,9;16,4;21;16,2;16,5;22,9;25,1;17,7;
Корткерос;;;;;;16,7;16,4;22,7;15,5;14,7;11;11,9;14,3;15,4;15,2;11,3;
Намск;;;;;;;;;15,9;18,6;12;22,3;5,1;15,8;6,8;11,6;
Маджа;;;;;;;;;14,7;18,4;15,7;16;19,6;3,4;8,1;16,5;
Мордино;;;;;;19,8;20,3;15,6;12,1;10,7;5,9;13,1;9;11,4;4,2;3,5;
Нёбдино;;;;;;;;;19,9;10,8;19,7;10,6;19,4;19,7;9,5;11,3;
Нившера;;;;;;15,2;16,9;13,7;14,8;10,3;4,8;11,5;11,6;14,4;8,8;4,9;
Пезмег;;;;;;26,6;14;13,1;10,3;17;14,4;10,7;13,7;10,1;7,6;8,3;
Подъельск;;;;;;;;;18,7;17,2;17,8;11;12,7;12,9;15,1;9,7;
Подтыбок;;;;;;12,8;18;14,5;9;12,4;13,8;9,7;7,7;11,5;7,4;10,4;
Позтыкерес;;;;;;;;;20,7;21,4;11,3;19,3;11,6;4;;;
Приозёрный;;;;;;;;;13,6;6,7;7,2;8,9;10,8;12,7;2,8;5,8;
Сторожевск;;;;;;17,7;17,8;15,5;10,3;12,3;15,1;10,2;5,9;9,5;5,6;9,4;
Усть-Лэкчим;;;;;;;;;27,3;17,6;19,7;6,9;21;17;7,9;4,9;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Печора;12,4;12,5;12,1;13;12,9;13,3;13;12,2;11,4;10;9,1;8,5;8,2;7,6;7,9;6,7;
Городское поселение;;;;;;;;;;;;;;;;;;
Печора;12,1;12,4;11,7;12,7;12,9;12,9;13,3;12,8;12,2;10,6;9,7;9,3;8,7;8;8,5;7;
Кожва;;;;;;12,7;10,9;10,6;10,2;9,4;7,5;4,7;6,5;5,5;6,6;4,6;
Путеец;;;;;;7,6;10,3;7,4;7,2;5;4,2;5,6;4,9;4,6;4,9;6,1;
Сельское поселение;;;;;;;;;;;;;;;;;;
Каджером;;;;;;16,3;10,2;8,1;6,3;5,7;6,8;3,8;3,9;8,6;2,2;4,1;
Озёрный;;;;;;25,5;17,6;13,6;9,3;6,9;10,8;6,1;8,6;7,2;7,5;6,8;
Приуральское;;;;;;;;;15,4;15,5;4,7;14,9;17,8;12,9;2,7;2,8;
Чикшино;;;;;;;;;8;10,8;2,4;13,4;11;3;9,5;10,3;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Прилузский;15,7;15,8;15,3;15,6;17,1;18,5;16,1;16,7;13,6;12,7;12,6;11,1;10;11,4;7,5;8,2;
Сельское поселение;;;;;;;;;;;;;;;;;;
Вухтым;;;;;;17,6;13,2;17,5;12,7;10,9;5,6;9,2;8,2;16,8;9,8;6;
Гурьевка;;;;;;;;;11,9;16;9,1;14,9;7,5;13,4;10,3;7,2;
Занулье;;;;;;;;;20,6;32,3;;11,1;11,4;23,3;5,7;5,7;
Летка;;;;;;16,9;14,2;16,3;10;12,3;13,5;12,4;7,3;12,5;9;10;
Лойма;;;;;;14,9;10,9;5,1;5,4;2,3;5,9;4,9;2,5;5,1;4,8;3,3;
Мутница;;;;;;;;;11,7;16,1;20,9;17,4;6,7;23,2;4,1;12,8;
Ношуль;;;;;;19,3;11,6;14,3;11,7;9,2;12,6;7,3;8,1;11,7;4,2;5;
Объячево;;;;;;18,9;18,6;19,6;16,6;15,5;15;12,4;13,4;10,6;8,3;9,1;
Прокопьевка;;;;;;;;;26,7;14,2;15;;16,7;8,7;16;8,2;
Слудка.;;;;;;;;;26,4;8,4;12;6,3;15,7;6,4;6,2;6,5;
Спаспоруб;;;;;;;;;5,3;10,8;8,2;12,7;8,6;8,8;6;8,5;
Черёмуховка;;;;;;13;15,9;8,7;10,9;6,6;7;8,2;6,3;10,8;3,1;7,5;
Чёрныш (до 1 января 2021 года);;;;;;;;;18,8;15,8;12,7;14,9;7,6;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Сосногорск;12,1;12,7;12;12,6;12,8;13,5;13,8;11,6;12,4;10,8;9,2;8,2;7,9;7;7,8;7,5;
Городское поселение;;;;;;;;;;;;;;;;;;
Сосногорск;;;;;;14,2;14,5;12,5;13,9;11,4;9,6;8,9;8,2;7,5;7,7;7,4;
Войвож;;;;;;10,2;9,5;5,4;5,8;6,3;6,1;6,5;7;4,9;5,6;8,6;
Нижний Одес;;;;;;12,5;12,7;10,6;9,1;9,8;8,9;6,2;7,2;5,9;8,6;7,5;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;17,9;15,5;14,4;17,3;17,8;16,7;18;15,8;16,3;12,3;13,2;11,5;9,9;9,9;9,5;9;
Сельское поселение;;;;;;;;;;;;;;;;;;
Выльгорт;;;;;;15;16,7;16,9;16,4;12,6;13;11,8;9,9;8,1;9;9,4;
Зеленец;;;;;;20,5;19,1;18,6;15,1;15,7;13,5;11;12,3;15,7;8,7;9;
Лэзым;;;;;;;;;12,8;8,6;8,4;14;11,6;13,2;15;13;
Мандач;;;;;;;;;39;15,9;35,1;6,4;20,5;14,1;49,1;;
Нювчим;;;;;;;;;9,5;7,8;10,3;2,1;6,2;;3,9;6;
Озёл;;;;;;;;;15,5;12,3;;4,3;;9;;20,8;
Пажга;;;;;;16,7;19,2;12,5;17,3;13,4;13,5;11,9;8,9;10,4;11,4;12,5;
Палевицы;;;;;;19,6;11,2;19,1;20;14,3;14,7;8,4;11,5;16,6;10,9;3,7;
Слудка;;;;;;;;;16,6;6,7;12;19,3;5,4;9,5;12,3;10,3;
Часово;;;;;;19;18,1;13,4;13,4;10,5;11,7;13;10,2;10,2;12,9;4;
Шошка;;;;;;;;;13,1;8,3;15,1;13,1;8,2;10,2;7,2;9,2;
Ыб;;;;;;;;;18,9;9,5;19,3;13,4;11,1;6,2;8,6;5,9;
Яснэг;;;;;;12,3;19,3;15,7;15,5;4,9;11,2;9;6,7;9,6;3,8;9;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Сысольский;14,7;15,5;15,2;16,4;19,8;17,1;18,2;15,9;16,4;13,3;11,3;11,5;9,8;10,1;10,2;8,1;
Сельское поселение;;;;;;;;;;;;;;;;;;
Визинга;;;;;;15,7;17,2;18,1;15,7;15;11;11,4;10,8;9,6;10,7;8,8;
Визиндор;;;;;;;;;12,6;11,4;13,2;17,1;5,4;11,2;4,1;10,3;
Вотча;;;;;;;;;5,7;18,1;;26,5;6,6;14,6;6;6;
Гагшор;;;;;;;;;10,1;18;10,6;10,9;2,8;12,1;9,6;6,6;
Заозерье;;;;;;;;;28,8;12,7;16;4,9;10,4;14;19,4;7,1;
Куниб;;;;;;15,6;13,8;10,7;11,5;7,9;6;9,6;7,1;8,8;6,6;5,1;
Куратово;;;;;;;;;24,6;5,1;17,4;11;12,6;15,8;7,6;4,7;
Межадор;;;;;;;;;23,1;14,4;8,8;10,6;10,9;12,8;15,4;8,5;
Палауз;;;;;;;;;28,7;17,2;29,9;12,7;6,5;13,7;15,2;15,4;
Пыёлдино;;;;;;;;;10,6;16,3;11,3;17,6;11,8;6;6,4;11,2;
Чухлэм;;;;;;;;;20,2;11,3;15,7;10;8,1;6,2;16,3;4,7;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Троицко-Печорский;14,4;11,9;11,8;14;14;13;14,4;15,1;11,4;10,9;10;7,2;7,6;7,5;5,8;7,6;
Городское поселение;;;;;;;;;;;;;;;;;;
Троицко-Печорск;;;;;;11,8;14,9;16,3;13,3;12,3;11,2;8;9,1;8;6,9;8,7;
Сельское поселение;;;;;;;;;;;;;;;;;;
Приуральский;;;;;;;;;13,5;13,9;8,2;10,7;;;2,4;2,5;
Знаменка;;;;;;;;;19,2;8,2;9,1;;20,9;5,4;;;
Комсомольск-на-Печоре;;;;;;;;;3,7;11,4;5,2;4;2,7;5,6;4;6,3;
Куръя;;;;;;;;;9,6;;32,6;11,8;;13,5;;;
Митрофан-Дикост;;;;;;;;;10,8;5,8;;7,2;7,7;8,1;3,8;4;
Мылва;;;;;;;;;5,3;12,4;9,9;4,4;4,5;7,5;3,2;10;
Нижняя Омра;;;;;;;;;10,1;10,6;11,2;6,8;5,4;15,3;;7,8;
Покча;;;;;;;;;13,1;;4,8;5;15,5;2,7;7;11,1;
Усть-Илыч;;;;;;;;;11;4,6;12,3;2,6;8,2;8,5;3,1;6,7;
Якша;;;;;;;;;6,1;10;7,8;9,2;2,6;5,6;9,9;2,9;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Удорский;14,1;14,6;13,7;15,6;15;15,1;15,1;12,1;11,9;10,7;9,1;7,6;8;6,9;9,4;9,3;
Городское поселение;;;;;;;;;;;;;;;;;;
Благоево;;;;;;18;16,5;12,2;15,7;11,6;6,7;9,6;12,1;4,4;10,5;6,8;
Междуреченск;;;;;;12,7;15,5;13,4;15,4;13,9;12,5;6,9;9,6;8,1;10,2;6,7;
Усогорск;;;;;;16,1;14;11,7;11;10,8;10,8;8,5;8;8,3;9,6;9,4;
Сельское поселение;;;;;;;;;;;;;;;;;;
Буткан;;;;;;;;;30,7;9,5;10,2;10,8;27,8;;7,1;;
Важгорт;;;;;;;;;10,8;14,8;7,7;8,1;8,3;8,5;10;15,7;
Вожский;;;;;;10,1;7;3,4;3,6;3,7;2,9;1,7;0,4;0,8;;6,5;
Глотово;;;;;;;;;23;23,1;14,5;;15,4;9,5;9,8;3,4;
Ёдва;;;;;;9,3;8;12,7;6,1;1,6;5,7;5;2,6;8;;17,9;
Ёртом (до 1 января 2018г);;;;;;;;;4;;;;;;;;
Кослан;;;;;;12,3;20,5;18,7;17,5;15,8;14;10,5;11;10,8;11;14,4;
Большая Пучкома;;;;;;;;;8,2;8,5;17,7;9,8;;12,3;;33,7;
Большая Пысса;;;;;;;;;19,9;15,3;5,4;5,9;3,1;6,5;10,9;3,8;
Чернутьево;;;;;;;;;2,4;13,2;13,8;14,2;11,8;21,7;3,2;6,8;
Чим;;;;;;;;;13,8;14,3;6,1;15,9;6,5;3,4;;;
Чупрово;;;;;;;;;19,8;10,5;11,5;;14,1;;13,6;;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;14;13,9;11,7;12;13,4;14,1;14,4;12,2;12,8;10,1;8,8;9,2;9,8;8,3;8,2;8,3;
Городское поселение;;;;;;;;;;;;;;;;;;
Микунь;;;;;;11,6;12,2;9,1;8,8;8,1;8,7;6,4;8,1;6,7;7,7;8,1;
Жешарт;;;;;;14;14,6;14,2;13,7;10,2;8,2;11,5;9,6;8,5;7,8;9,2;
Сельское поселение;;;;;;;;;;;;;;;;;;
Айкино;;;;;;15,4;17,1;19,1;19,7;14,6;12;13,1;14,3;10,8;12,6;7,5;
Вежайка;;;;;;;;;10,2;2,6;2,7;2,7;;;20,4;25;
Гам;;;;;;;;;8,6;4,4;6;9,3;6,5;11,8;4,6;7,8;
Донаёль;;;;;;;;;14,6;17,5;15,5;8;10,9;5,6;10,1;7;
Илья-Шор;;;;;;;;;12;9,8;5;2,5;18;13,3;5,2;13,4;
Кожмудор;;;;;;;;;21,3;9,7;5;10,3;11,9;8,3;7,4;5,4;
Мадмас;;;;;;;;;9,9;10,1;11,9;9,1;10,9;9,8;3;6;
