
значение показателя за год
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Каджером;;;;28;27;43;26;20;15;13;15;8;8;17;4;7;
Кедровый Шор (до 1 января 2013 года);;;;11;;;;;;;;;;;;;
Косью (до 1 января 2013 года);;;;4;;;;;;;;;;;;;
Красный Яг (до 1 января 2013 года);;;;8;;;;;;;;;;;;;
Озёрный;;;;13;29;41;28;21;14;10;15;8;11;9;7;6;
Приуральское;;;;9;11;9;8;10;7;7;2;6;7;5;1;1;
Соколово (до 1 января 2013 года);;;;8;;;;;;;;;;;;;
Сыня (до 1 января 2013 года);;;;8;;;;;;;;;;;;;
Чикшино;;;;14;9;16;9;4;4;5;1;5;4;1;3;3;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Прилузский;347;340;321;317;337;356;303;307;244;222;215;187;166;185;132;142;
Сельское поселение;;;;;;;;;;;;;;;;;;
Ваймес (до  1 января 2017г);;;;7;10;7;10;7;5;;;;;;;;
Верхолузье (до 1 января 2017г);;;;4;3;7;3;2;1;;;;;;;;
Вухтым;;;;28;15;18;13;17;12;10;5;8;7;14;10;6;
Гурьевка;;;;6;11;13;12;13;7;9;5;8;4;7;6;4;
Занулье;;;;5;2;2;2;2;2;3;0;1;1;2;1;1;
Летка;;;;39;46;45;37;42;25;30;32;29;17;29;24;26;
Лойма;;;;13;12;15;11;5;5;2;5;4;2;4;3;2;
Мутница;;;;14;14;14;9;7;6;8;10;8;3;10;2;6;
Ношуль;;;;21;34;34;20;24;19;19;25;14;15;21;8;9;
Объячево;;;;118;123;138;134;139;117;112;107;88;94;79;66;71;
Прокопьевка;;;;7;5;1;3;6;4;2;2;0;2;1;2;1;
Слудка.;;;;3;13;11;9;4;10;3;4;2;5;2;2;2;
Спаспоруб;;;;13;10;19;12;15;4;8;6;9;6;6;5;7;
Черёмуховка;;;;19;17;16;19;10;12;7;7;8;6;10;3;7;
Чёрныш (до 1 января 2021 года);;;;14;18;12;7;10;11;9;7;8;4;;;;
Читаево (до 1 января 2017г);;;;6;4;4;2;4;4;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Сосногорск;585;605;564;583;589;615;621;516;547;471;399;349;335;292;267;256;
Городское поселение;;;;;;;;;;;;;;;;;;
Сосногорск;;;;397;362;466;474;402;446;363;301;275;251;226;194;186;
Войвож;;;;32;32;32;29;16;17;18;17;18;19;13;10;15;
Нижний Одес;;;;89;111;117;118;98;84;90;81;56;65;53;63;55;
Сельское поселение;;;;;;;;;;;;;;;;;;
Верхнеижемский  (до 1 янвря 2013 года);;;;7;5;;;;;;;;;;;;
Вис  (до 1 янвря 2013 года);;;;5;4;;;;;;;;;;;;
Ираёль  (до 1 янвря 2013 года);;;;8;11;;;;;;;;;;;;
Керки  (до 1 янвря 2013 года);;;;5;13;;;;;;;;;;;;
Малая Пера  (до 1 янвря 2013 года);;;;8;11;;;;;;;;;;;;
Поляна  (до 1 янвря 2013 года);;;;16;17;;;;;;;;;;;;
Усть-Ухта  (до 1 янвря 2013 года);;;;16;23;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;405;352;328;397;415;392;427;380;393;299;321;281;243;241;205;192;
Сельское поселение;;;;;;;;;;;;;;;;;;
Выльгорт;;;;165;175;167;191;197;194;152;160;148;126;105;94;99;
Зеленец;;;;63;61;69;65;64;52;54;46;37;41;52;29;30;
Лэзым;;;;4;9;8;8;6;6;4;4;7;6;7;8;7;
Мандач;;;;7;9;4;13;3;8;3;6;1;3;2;8;0;
Нювчим;;;;9;5;6;4;6;5;4;5;1;3;0;2;3;
Озёл;;;;4;6;4;7;2;4;3;0;1;0;2;0;2;
Пажга;;;;49;41;38;44;29;40;31;31;27;20;23;21;23;
Палевицы;;;;24;28;23;13;22;23;16;16;9;12;17;12;4;
Слудка;;;;9;11;13;12;8;10;4;7;11;3;5;5;4;
Часово;;;;25;18;20;19;14;14;11;12;13;10;10;13;4;
Шошка;;;;12;12;8;11;3;8;5;9;8;5;6;4;5;
Ыб;;;;10;18;19;21;12;16;8;16;11;9;5;6;4;
Яснэг;;;;16;22;13;19;14;13;4;9;7;5;7;3;7;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Сысольский;218;224;213;226;270;231;243;210;214;172;143;144;121;122;120;94;
Сельское поселение;;;;;;;;;;;;;;;;;;
Визинга;;;;112;125;111;122;128;111;105;77;79;75;66;73;60;
Визиндор;;;;18;14;11;8;5;8;7;8;10;3;6;2;5;
Вотча;;;;3;7;3;3;1;1;3;0;4;1;2;1;1;
Гагшор;;;;7;7;8;9;6;4;7;4;4;1;4;3;2;
Заозерье;;;;17;10;15;11;10;14;6;7;2;4;5;6;2;
Куниб;;;;18;27;25;22;17;18;12;9;14;10;12;9;7;
Куратово;;;;14;21;18;20;16;20;4;13;8;9;11;5;3;
Межадор;;;;18;16;14;17;6;16;10;6;7;7;8;9;5;
Палауз;;;;3;5;2;5;4;5;3;5;2;1;2;2;2;
Пыёлдино;;;;7;19;16;10;8;6;9;6;9;6;3;3;5;
Чухлэм;;;;9;19;8;16;9;11;6;8;5;4;3;7;2;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Троицко-Печорский;216;174;166;190;184;165;176;180;132;124;110;77;80;76;57;73;
Городское поселение;;;;;;;;;;;;;;;;;;
Троицко-Печорск;;;;98;96;80;98;105;85;78;70;49;55;47;41;51;
Сельское поселение;;;;;;;;;;;;;;;;;;
Приуральский;;;;8;10;16;7;8;7;7;4;5;0;0;1;1;
Знаменка;;;;4;2;1;4;4;5;2;2;0;4;1;0;0;
Комсомольск-на-Печоре;;;;11;8;7;12;9;3;9;4;3;2;4;2;3;
Куръя;;;;1;2;1;1;2;1;0;3;1;0;1;0;0;
Митрофан-Дикост;;;;6;6;7;7;5;4;2;0;2;2;2;1;1;
Мылва;;;;15;15;7;9;14;4;9;7;3;3;5;2;6;
Нижняя Омра;;;;16;15;12;13;9;7;7;7;4;3;8;0;4;
Покча;;;;10;8;10;10;6;6;0;2;2;6;1;2;3;
Усть-Илыч;;;;5;9;12;7;7;5;2;5;1;3;3;1;2;
Якша;;;;16;13;12;8;11;5;8;6;7;2;4;7;2;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
