
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Число приемных пунктов бытового обслуживания, принимающих заказы от населения на оказание услуг;;;;;;;;;;;;1;1;1;;2;2;;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;1;1;1;;;;;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;;;;;;1;;
Ритуальные услуги;;;;;;;;;;;;;;;;2;1;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;1;1;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;1;1;1;1;1;1;1;1;2;2;;;;;;;;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;4;4;4;4;4;4;4;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;3;7;5;5;5;5;5;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;36;40;37;38;37;30;31;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;2;2;2;2;2;2;2;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;3;4;4;4;3;3;4;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;2;1;;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;1;1;1;1;1;1;1;
Услуги бань и душевых;;;;;;;;;;;;7;5;4;4;2;2;2;
Услуги парикмахерских;;;;;;;;;;;;9;11;12;13;15;8;8;
Услуги фотоателье;;;;;;;;;;;;2;2;2;2;2;2;2;
Ритуальные услуги;;;;;;;;;;;;3;3;3;3;3;3;3;
Объем платных услуг населению (без субъектов малого предпринимательства), тысяча рублей;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;399637,8;378145,6;387164,7;437524,1;456419,3;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;167;167;174;194;194;189;189;189;189;189;189;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;15;15;12;20;20;30;30;30;30;30;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
Емва;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;4;4;4;4;4;4;4;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;4;4;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;30;29;24;24;24;24;24;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;1;1;2;2;2;2;2;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;2;2;3;3;3;3;3;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;0;0;0;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;1;1;1;1;1;1;1;
Услуги бань и душевых;;;;;;;;;;;;1;1;1;1;1;1;1;
Услуги парикмахерских;;;;;;;;;;;;12;11;8;8;8;8;8;
Услуги фотоателье;;;;;;;;;;;;2;2;2;2;2;2;2;
Ритуальные услуги;;;;;;;;;;;;3;3;3;3;3;3;3;
Прочие виды бытовых услуг;;;;;;;;;;;;0;0;0;;;;;
Число приемных пунктов бытового обслуживания  населения, принимающих заказы от населения на оказание услуг (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;0;0;0;;;;;
Число приемных пунктов бытового обслуживания, принимающих заказы от населения на оказание услуг;;;;;;;;;;;;0;0;0;;;;;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;0;0;;;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;0;0;0;;;;;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;0;0;0;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;0;0;0;;;;;
Услуги фотоателье;;;;;;;;;;;;0;0;0;;;;;
Ритуальные услуги;;;;;;;;;;;;0;0;0;;;;;
Прочие виды бытовых услуг;;;;;;;;;;;;0;0;0;;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;44;44;43;43;43;43;43;43;43;43;43;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;11;12;10;18;11;11;17;17;17;17;;;;;;;;
Синдор;;;;;;;;;;;;;;;;;;;
