
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;2;2;1;1;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;1;1;1;1;;;;
Услуги парикмахерских;;;;;;;;;;;;1;1;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;1;1;1;1;1;;;;1;1;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;23;23;23;23;23;22;19;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;30;30;30;30;30;30;25;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;209;199;199;198;198;198;186;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;7;6;6;6;6;6;4;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;24;24;24;24;24;24;19;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;25;25;25;25;25;25;22;
Изготовление и ремонт мебели;;;;;;;;;;;;5;5;5;5;5;5;5;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;2;2;2;2;2;2;3;
Услуги бань и душевых;;;;;;;;;;;;3;4;4;4;4;5;6;
Услуги парикмахерских;;;;;;;;;;;;46;46;46;46;46;46;51;
Услуги фотоателье;;;;;;;;;;;;8;4;4;4;4;4;6;
Ритуальные услуги;;;;;;;;;;;;12;6;6;5;5;5;7;
Прочие виды бытовых услуг;;;;;;;;;;;;24;24;24;24;24;24;19;
Число приемных пунктов бытового обслуживания  населения, принимающих заказы от населения на оказание услуг (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;;0;0;;;;;
Число приемных пунктов бытового обслуживания, принимающих заказы от населения на оказание услуг;;;;;;;;;;;;3;2;2;2;1;1;;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;;0;0;;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;1;1;1;1;1;1;;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;;0;0;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;;0;0;;;;;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;;0;0;;;;;
Услуги фотоателье;;;;;;;;;;;;;0;0;;;;;
Ритуальные услуги;;;;;;;;;;;;2;1;1;1;;;;
Прочие виды бытовых услуг;;;;;;;;;;;;;0;0;;;;;
Объем платных услуг населению (без субъектов малого предпринимательства), тысяча рублей;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1615901;1643349,2;1774750,2;1863279,5;1991616;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;149;121;140;140;140;140;140;140;140;140;140;;;;;;;;
Установленная мощность в 8-часовую смену прачечных, килограмм сухого белья, килограмм;;;;;;;;;;;;;;;;;;;
;;1480;1480;1480;1480;1480;1480;1480;;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;80;85;86;90;94;96;99;103;103;101;;;;;;;;
прачечные;;;;;;;;;;;;;;;;;;;
Установленная мощность в 8-часовую смену организаций бытового обслуживания населения, килограмм;;;;;;;;;;;;;;;;;;;
;1480;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
Печора;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;20;20;20;20;20;20;16;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;30;30;30;30;30;30;25;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;198;188;188;188;188;189;177;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;7;6;6;6;6;6;4;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;23;23;23;23;23;24;19;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;25;25;25;25;25;25;22;
Изготовление и ремонт мебели;;;;;;;;;;;;5;5;5;5;5;5;5;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;2;2;2;2;2;2;3;
Услуги бань и душевых;;;;;;;;;;;;1;2;2;2;2;2;4;
Услуги парикмахерских;;;;;;;;;;;;42;42;42;42;42;42;47;
Услуги фотоателье;;;;;;;;;;;;8;4;4;4;4;4;6;
Ритуальные услуги;;;;;;;;;;;;11;5;5;5;5;5;7;
Прочие виды бытовых услуг;;;;;;;;;;;;24;24;24;24;24;24;19;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;89;89;89;89;89;89;89;89;;;;;;;;;;;
Установленная мощность в 8-часовую смену прачечных, килограмм сухого белья, килограмм;;;;;;;;;;;;;;;;;;;
;;1480;1480;1480;1480;1480;1480;1480;;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;77;81;82;85;88;91;94;;;;;;;;;;;
прачечные;;;;;;;;;;;;;;;;;;;
Установленная мощность в 8-часовую смену организаций бытового обслуживания населения, килограмм;;;;;;;;;;;;;;;;;;;
;1480;;;;;;;;;;;;;;;;;;
Изъяю (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;1;1;1;1;1;;;;;;;;;;;;;
Кожва;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;2;2;2;2;2;1;2;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;8;8;8;7;7;6;6;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;1;1;1;1;1;;;
Услуги бань и душевых;;;;;;;;;;;;1;1;1;1;1;2;1;
Услуги парикмахерских;;;;;;;;;;;;3;3;3;3;3;3;3;
Ритуальные услуги;;;;;;;;;;;;1;1;1;;;;;
Число приемных пунктов бытового обслуживания  населения, принимающих заказы от населения на оказание услуг (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Число приемных пунктов бытового обслуживания, принимающих заказы от населения на оказание услуг;;;;;;;;;;;;2;2;2;2;1;1;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;1;1;1;1;1;1;;
Ритуальные услуги;;;;;;;;;;;;1;1;1;1;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;16;16;16;16;16;16;16;16;16;16;16;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;;1;1;1;1;2;2;4;4;4;;;;;;;;
Путеец;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;1;1;1;1;1;1;1;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;1;1;1;1;1;1;1;
Сельское поселение;;;;;;;;;;;;;;;;;;;
Берёзовка (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;28;;;;;;;;;;;;;;;;;;
Каджером;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;2;2;2;2;2;2;2;
Услуги бань и душевых;;;;;;;;;;;;1;1;1;1;1;1;1;
Услуги парикмахерских;;;;;;;;;;;;1;1;1;1;1;1;1;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;16;16;35;35;35;35;35;35;35;35;35;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;2;2;1;1;2;2;2;2;2;2;;;;;;;;
Озёрный;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;;;1;1;1;;;;;;;;;;;;;
Приуральское;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;;;;1;1;1;1;1;1;1;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;18;17;16;12;12;15;13;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;10;9;4;4;3;5;5;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;80;77;67;67;70;72;79;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;1;1;1;1;1;1;1;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;10;10;10;6;7;6;7;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;5;4;4;4;4;3;2;
Изготовление и ремонт мебели;;;;;;;;;;;;3;3;0;;;;;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;1;1;1;1;1;1;;
Услуги бань и душевых;;;;;;;;;;;;4;4;4;4;3;3;4;
Услуги парикмахерских;;;;;;;;;;;;19;17;17;15;13;25;29;
Услуги фотоателье;;;;;;;;;;;;2;2;2;2;1;1;1;
Ритуальные услуги;;;;;;;;;;;;2;2;2;5;5;5;5;
Прочие виды бытовых услуг;;;;;;;;;;;;5;7;6;13;20;7;12;
Число приемных пунктов бытового обслуживания  населения, принимающих заказы от населения на оказание услуг (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;0;0;0;;;;;
Число приемных пунктов бытового обслуживания, принимающих заказы от населения на оказание услуг;;;;;;;;;;;;1;1;0;;;;;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;0;0;0;;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;0;0;0;;;;;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;0;0;0;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;0;0;0;;;;;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;1;1;0;;;;;
Услуги фотоателье;;;;;;;;;;;;0;0;0;;;;;
Ритуальные услуги;;;;;;;;;;;;0;0;0;;;;;
Прочие виды бытовых услуг;;;;;;;;;;;;0;0;0;;;;;
Объем платных услуг населению (без субъектов малого предпринимательства), тысяча рублей;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;179002,3;210883,3;217632,1;233993,3;221290,3;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;112;121;114;114;114;53;53;58;61;50;38;;;;;;;;
Установленная мощность в 8-часовую смену прачечных, килограмм сухого белья, килограмм;;;;;;;;;;;;;;;;;;;
;;70;100;100;100;3562;3562;2851,2;;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;18;16;19;18;18;18;21;22;22;22;;;;;;;;
прачечные;;;;;;;;;;;;;;;;;;;
Установленная мощность в 8-часовую смену организаций бытового обслуживания населения, килограмм;;;;;;;;;;;;;;;;;;;
;70;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
Вухтым;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;15;24;24;24;24;24;24;24;24;12;;;;;;;;;
Гурьевка;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;;1;1;1;;;;;;;;;;;;;;
Летка;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;3;3;3;3;3;6;6;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;11;12;11;12;13;14;11;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;1;;;;;;;
Услуги бань и душевых;;;;;;;;;;;;1;1;1;1;;;;
Услуги парикмахерских;;;;;;;;;;;;3;3;3;3;3;5;4;
Ритуальные услуги;;;;;;;;;;;;;;;1;1;1;1;
Прочие виды бытовых услуг;;;;;;;;;;;;3;5;4;4;6;2;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;8;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;2;2;3;3;4;3;5;5;4;4;;;;;;;;
Лойма;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;;0;0;;;;;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;;0;0;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;;0;0;;;;;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;;0;0;;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;;0;0;;;;;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;;0;0;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;;0;0;;;;;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;;0;0;;;;;
Услуги бань и душевых;;;;;;;;;;;;;0;0;;;;;
Услуги парикмахерских;;;;;;;;;;;;;0;0;;;;;
Услуги фотоателье;;;;;;;;;;;;;0;0;;;;;
Ритуальные услуги;;;;;;;;;;;;;0;0;;;;;
Прочие виды бытовых услуг;;;;;;;;;;;;;0;0;;;;;
Число приемных пунктов бытового обслуживания  населения, принимающих заказы от населения на оказание услуг (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;;0;0;;;;;
Число приемных пунктов бытового обслуживания, принимающих заказы от населения на оказание услуг;;;;;;;;;;;;;0;0;;;;;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;;0;0;;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;;0;0;;;;;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;;0;0;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;;0;0;;;;;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;;0;0;;;;;
Услуги фотоателье;;;;;;;;;;;;;0;0;;;;;
Ритуальные услуги;;;;;;;;;;;;;0;0;;;;;
Прочие виды бытовых услуг;;;;;;;;;;;;;0;0;;;;;
Ношуль;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;1;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;4;3;3;3;3;3;3;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;1;1;1;1;1;1;1;
Услуги бань и душевых;;;;;;;;;;;;1;1;1;1;1;1;1;
Услуги парикмахерских;;;;;;;;;;;;1;1;1;1;1;1;1;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;;;;;;;;;4;8;8;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;;;;;;;;1;1;1;;;;;;;;
Объячево;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;15;14;13;9;9;9;7;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;9;9;4;4;3;5;5;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;64;62;53;52;54;55;65;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;1;1;1;1;1;1;1;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;9;9;9;5;6;5;6;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;4;4;4;4;4;3;2;
Изготовление и ремонт мебели;;;;;;;;;;;;3;3;;;;;;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;1;1;1;1;1;1;;
Услуги бань и душевых;;;;;;;;;;;;2;2;2;2;2;2;3;
Услуги парикмахерских;;;;;;;;;;;;14;13;13;11;9;19;24;
Услуги фотоателье;;;;;;;;;;;;2;2;2;2;1;1;1;
Ритуальные услуги;;;;;;;;;;;;2;2;2;4;4;4;4;
Прочие виды бытовых услуг;;;;;;;;;;;;2;2;2;9;14;5;12;
Число приемных пунктов бытового обслуживания  населения, принимающих заказы от населения на оказание услуг (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Число приемных пунктов бытового обслуживания, принимающих заказы от населения на оказание услуг;;;;;;;;;;;;1;1;;;;;;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;1;1;;;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;97;97;90;90;90;29;29;29;30;30;22;;;;;;;;
Установленная мощность в 8-часовую смену прачечных, килограмм сухого белья, килограмм;;;;;;;;;;;;;;;;;;;
;;70;100;100;100;3562;3562;3562;;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;16;12;13;13;13;14;14;16;16;16;;;;;;;;
прачечные;;;;;;;;;;;;;;;;;;;
Установленная мощность в 8-часовую смену организаций бытового обслуживания населения, килограмм;;;;;;;;;;;;;;;;;;;
;70;;;;;;;;;;;;;;;;;;
Спаспоруб;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;1;;;;;;;
Услуги парикмахерских;;;;;;;;;;;;1;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;;1;1;1;1;1;1;1;1;1;;;;;;;;
Чёрныш (до 1 января 2021 года);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;;;1;;;;;;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;3;10;10;10;11;10;9;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;0;2;2;2;2;2;2;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;58;63;58;60;62;63;61;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;4;3;2;2;4;4;4;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;6;4;4;3;3;3;1;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;4;2;2;2;2;2;2;
Изготовление и ремонт мебели;;;;;;;;;;;;0;1;1;1;1;1;1;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;1;1;1;1;1;1;2;
Услуги бань и душевых;;;;;;;;;;;;3;3;3;3;2;5;5;
Услуги парикмахерских;;;;;;;;;;;;24;23;19;24;24;22;22;
Услуги фотоателье;;;;;;;;;;;;5;5;5;5;5;5;5;
Ритуальные услуги;;;;;;;;;;;;5;6;6;4;4;5;5;
Прочие виды бытовых услуг;;;;;;;;;;;;3;3;3;3;3;3;3;
Число приемных пунктов бытового обслуживания  населения, принимающих заказы от населения на оказание услуг (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;0;0;0;;;;;
Число приемных пунктов бытового обслуживания, принимающих заказы от населения на оказание услуг;;;;;;;;;;;;0;0;0;1;1;1;2;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;0;0;0;;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;0;0;0;;;;;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;0;0;0;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;0;0;0;;;;;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;;0;0;;;;1;
Услуги фотоателье;;;;;;;;;;;;0;0;0;;;;;
Ритуальные услуги;;;;;;;;;;;;0;0;0;;;;;
Прочие виды бытовых услуг;;;;;;;;;;;;0;0;0;1;1;1;1;
Объем платных услуг населению (без субъектов малого предпринимательства), тысяча рублей;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;767455,7;818827,5;768056;884696;933745,6;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;79;79;79;79;79;124;124;112;112;104;104;;;;;;;;
Установленная мощность в 8-часовую смену прачечных, килограмм сухого белья, килограмм;;;;;;;;;;;;;;;;;;;
;;120;120;120;120;120;120;120;;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;41;41;39;40;40;40;41;48;57;57;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
Сосногорск;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;2;9;9;9;9;8;7;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;0;2;2;2;2;2;2;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;38;44;40;44;43;40;39;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;3;2;1;1;2;1;1;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;5;3;3;2;2;1;1;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;4;2;2;2;2;2;2;
Изготовление и ремонт мебели;;;;;;;;;;;;0;1;1;1;1;1;1;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;0;;;;;;1;
Услуги бань и душевых;;;;;;;;;;;;2;2;2;2;1;2;2;
Услуги парикмахерских;;;;;;;;;;;;14;14;10;16;16;14;14;
Услуги фотоателье;;;;;;;;;;;;3;3;3;4;4;4;4;
Ритуальные услуги;;;;;;;;;;;;2;3;4;2;1;2;2;
Прочие виды бытовых услуг;;;;;;;;;;;;3;3;3;3;3;3;2;
Число приемных пунктов бытового обслуживания  населения, принимающих заказы от населения на оказание услуг (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;0;;;;;;;
Число приемных пунктов бытового обслуживания, принимающих заказы от населения на оказание услуг;;;;;;;;;;;;0;;;;;;;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;0;;;;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;0;;;;;;;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;0;;;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;0;;;;;;;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;0;;;;;;;
Услуги фотоателье;;;;;;;;;;;;0;;;;;;;
Ритуальные услуги;;;;;;;;;;;;0;;;;;;;
Прочие виды бытовых услуг;;;;;;;;;;;;0;;;;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;47;47;47;47;47;92;92;90;90;82;82;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;25;25;25;25;25;25;28;33;41;41;;;;;;;;
Войвож;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
